ⲁϥϫⲟⲟⲥ	ⲁ|ϥ|ϫⲟⲟ|ⲥ
ⲛⲛⲁⲛⲟⲩⲧⲉ	ⲛ|ⲛⲁ|ⲛⲟⲩⲧⲉ
ⲉⲓⲉ	ⲉⲓⲉ
ⲛⲅⲥⲟⲟⲩⲛ	ⲛ|ⲅ|ⲥⲟⲟⲩⲛ
ⲁⲛ	ⲁⲛ
ϫⲉⲟⲩⲛⲧⲁⲓ	ϫⲉ|ⲟⲩⲛⲧⲁ|ⲓ
ⲧⲉⲝⲟⲩⲥⲓⲁ	ⲧ|ⲉⲝⲟⲩⲥⲓⲁ
ⲉⲣⲟⲕ	ⲉⲣⲟ|ⲕ
ⲁⲡⲁ	ⲁⲡⲁ
ⲁϥⲃⲟⲗϥ	ⲁ|ϥ|ⲃⲟⲗ|ϥ
ⲙⲡϥⲙⲟⲩⲥ	ⲙⲡ|ϥ|ⲙⲟⲩ|ⲥ
ⲛⲛⲟⲩⲃ	ⲛ|ⲛⲟⲩⲃ
ⲁⲩⲱ	ⲁⲩⲱ
ⲁϥⲃⲟϣϥ	ⲁ|ϥ|ⲃⲟϣ|ϥ
ⲙⲡⲉϥϩⲱⲕ	ⲙ|ⲡⲉϥ|ϩⲱⲕ
ⲉⲧⲧⲟ	ⲉⲧ|ⲧⲟ
ϩⲓⲱⲱϥ	ϩⲓⲱⲱ|ϥ
ⲁϥⲛⲟϫⲟⲩ	ⲁ|ϥ|ⲛⲟϫ|ⲟⲩ
ⲉϥϫⲱ	ⲉ|ϥ|ϫⲱ
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ
ϫⲉϩⲟⲗⲱⲥ	ϫⲉ|ϩⲟⲗⲱⲥ
ⲣⲱ	ⲣⲱ
ⲁⲛⲅⲟⲩⲙⲁⲧⲟⲓ	ⲁⲛⲅ|ⲟⲩ|ⲙⲁⲧⲟⲓ
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ⲛϯϩⲏⲕ	ⲛ|ϯ|ϩⲏⲕ
ϩⲁⲣⲁⲧϥ	ϩⲁⲣⲁⲧ|ϥ
ⲛⲟⲩⲣⲣⲟ	ⲛ|ⲟⲩ|ⲣⲣⲟ
ⲉϣⲁϥⲙⲟⲩ	ⲉ|ϣⲁ|ϥ|ⲙⲟⲩ
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ
ⲉⲓϩⲏⲕ	ⲉ|ⲓ|ϩⲏⲕ
ⲙⲡⲣⲣⲟ	ⲙ|ⲡ|ⲣⲣⲟ
ⲉⲧϩⲛⲙⲡⲏⲩⲉ	ⲉⲧ|ϩⲛ|ⲙ|ⲡⲏⲩⲉ
ϥⲥⲏϩ	ϥ|ⲥⲏϩ
ⲅⲁⲣ	ⲅⲁⲣ
ϩⲙⲡϫⲱⲱⲙⲉ	ϩⲙ|ⲡ|ϫⲱⲱⲙⲉ
ⲛⲛⲉⲭⲣⲓⲥⲧⲓⲁⲛⲟⲥ	ⲛ|ⲛⲉ|ⲭⲣⲓⲥⲧⲓⲁⲛⲟⲥ
ϫⲉⲙⲛϣϭⲟⲙ	ϫⲉ|ⲙⲛ|ϣϭⲟⲙ
ⲙⲙⲱⲧⲛ	ⲙⲙⲱ|ⲧⲛ
ⲉⲣϩⲙϩⲁⲗ	ⲉ|ⲣϩⲙϩⲁⲗ
ⲛϫⲟⲉⲓⲥ	ⲛ|ϫⲟⲉⲓⲥ
ⲥⲛⲁⲩ	ⲥⲛⲁⲩ
ⲏ	ⲏ
ⲡⲛⲟⲩⲧⲉ	ⲡ|ⲛⲟⲩⲧⲉ
ⲡⲙⲁⲙⲟⲛⲁⲥ	ⲡ|ⲙⲁⲙⲟⲛⲁⲥ
ⲟⲛ	ⲟⲛ
ⲉⲟⲩⲱⲙ	ⲉ|ⲟⲩⲱⲙ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲛⲧⲉⲧⲣⲁⲡⲉⲍⲁ	ϩⲛ|ⲧⲉ|ⲧⲣⲁⲡⲉⲍⲁ
ⲙⲡϫⲟⲉⲓⲥ	ⲙ|ⲡ|ϫⲟⲉⲓⲥ
ⲛⲛⲇⲁⲓⲙⲟⲛⲓⲟⲛ	ⲛ|ⲛ|ⲇⲁⲓⲙⲟⲛⲓⲟⲛ
ⲧⲉⲛⲟⲩ	ⲧⲉⲛⲟⲩ
ϭⲉ	ϭⲉ
ϯⲛⲁϣⲙϣⲉ	ϯ|ⲛⲁ|ϣⲙϣⲉ
ⲙⲡⲛⲟⲩⲧⲉ	ⲙ|ⲡ|ⲛⲟⲩⲧⲉ
ⲛⲧⲡⲉ	ⲛ|ⲧ|ⲡⲉ
ⲛⲧⲁⲧⲙϣⲙϣⲉ	ⲛ|ⲧⲁ|ⲧⲙ|ϣⲙϣⲉ
ϩⲱⲱϥ	ϩⲱⲱ|ϥ
ⲙⲡⲙⲁⲙⲟⲛⲁⲥ	ⲙ|ⲡ|ⲙⲁⲙⲟⲛⲁⲥ
ⲉⲧⲉⲛⲧⲟⲕ	ⲉⲧⲉ|ⲛⲧⲟⲕ
ⲱ	ⲱ
ϫⲉⲉⲧⲃⲉⲟⲩ	ϫⲉ|ⲉⲧⲃⲉ|ⲟⲩ
ⲁⲕⲧⲟⲗⲙⲁ	ⲁ|ⲕ|ⲧⲟⲗⲙⲁ
ⲁⲕϩⲩⲃⲣⲓⲍⲉ	ⲁ|ⲕ|ϩⲩⲃⲣⲓⲍⲉ
ⲙⲙⲟⲓ	ⲙⲙⲟ|ⲓ
ⲛⲧⲉⲓϩⲉ	ⲛ|ⲧⲉⲓ|ϩⲉ
ⲧⲏⲣⲥ	ⲧⲏⲣ|ⲥ
ⲉⲕⲙⲉⲉⲩⲉ	ⲉ|ⲕ|ⲙⲉⲉⲩⲉ
ϫⲉⲙⲛⲕⲟⲗⲁⲥⲓⲥ	ϫⲉ|ⲙⲛ|ⲕⲟⲗⲁⲥⲓⲥ
ϩⲓⲃⲁⲥⲁⲛⲟⲥ	ϩⲓ|ⲃⲁⲥⲁⲛⲟⲥ
ϩⲙⲡⲇⲓⲕⲁⲥⲧⲏⲣⲓⲟⲛ	ϩⲙ|ⲡ|ⲇⲓⲕⲁⲥⲧⲏⲣⲓⲟⲛ
ⲉⲧⲣⲁⲕⲟⲗⲁⲍⲉ	ⲉ|ⲧⲣ|ⲁ|ⲕⲟⲗⲁⲍⲉ
ⲙⲙⲟⲕ	ⲙⲙⲟ|ⲕ
ⲛⲧϩⲉ	ⲛ|ⲧ|ϩⲉ
ⲉⲧⲉϩⲛⲁⲓ	ⲉ|ⲧⲉ|ϩⲛⲁⲓ
ⲙⲡⲉⲓⲟⲩⲱ	ⲙ|ⲡⲉⲓ|ⲟⲩⲱ
ⲉⲓⲡⲁⲣⲁⲅⲅⲉⲓⲗⲉ	ⲉ|ⲓ|ⲡⲁⲣⲁⲅⲅⲉⲓⲗⲉ
ⲛⲏⲧⲛ	ⲛⲏ|ⲧⲛ
ϫⲉⲙⲡⲣⲧⲣⲁⲥⲱⲧⲙ	ϫⲉ|ⲙⲡⲣⲧⲣ|ⲁ|ⲥⲱⲧⲙ
ⲉⲡⲉⲓⲣⲁⲛ	ⲉ|ⲡⲉⲓ|ⲣⲁⲛ
ϫⲉⲓⲏⲥⲟⲩⲥ	ϫⲉ|ⲓⲏⲥⲟⲩⲥ
ϩⲛⲣⲱⲧⲛ	ϩⲛ|ⲣⲱⲧ|ⲛ
ⲛⲥⲁⲃⲏⲗ	ⲛⲥⲁⲃⲏⲗ
ⲉⲧⲃⲉⲡϣⲓⲡⲉ	ⲉⲧⲃⲉ|ⲡ|ϣⲓⲡⲉ
ⲙⲡⲉⲕⲉⲓⲱⲧ	ⲙ|ⲡⲉⲕ|ⲉⲓⲱⲧ
ⲛⲉⲓⲛⲁⲁⲛⲉⲭⲉ	ⲛ|ⲉⲓ|ⲛⲁ|ⲁⲛⲉⲭⲉ
ⲛⲁⲕ	ⲛⲁ|ⲕ
ⲉⲧⲣⲉⲕϣⲁϫⲉ	ⲉ|ⲧⲣⲉ|ⲕ|ϣⲁϫⲉ
ⲙⲡⲁⲙⲧⲟ	ⲙ|ⲡⲁ|ⲙⲧⲟ
ϫⲉⲁⲩⲣⲣⲟ	ϫⲉ|ⲁ|ⲩ|ⲣⲣⲟ
ⲛⲧⲁϩⲉ	ⲛ|ⲧⲁ|ϩⲉ
ⲛⲟⲩϩⲏⲅⲉⲙⲱⲛ	ⲛ|ⲟⲩ|ϩⲏⲅⲉⲙⲱⲛ
ⲁϥⲙⲟⲟⲩⲧ	ⲁ|ϥ|ⲙⲟⲟⲩⲧ
ⲛⲓⲏⲥⲟⲩⲥ	ⲛ|ⲓⲏⲥⲟⲩⲥ
ⲡⲉⲕⲛⲟⲩⲧⲉ	ⲡⲉⲕ|ⲛⲟⲩⲧⲉ
ⲡⲁⲓ	ⲡⲁⲓ
ⲛⲧⲟⲕ	ⲛⲧⲟⲕ
ⲉⲧⲕⲑⲁⲣⲉⲓ	ⲉⲧ|ⲕ|ⲑⲁⲣⲉⲓ
ⲉⲣⲟϥ	ⲉⲣⲟ|ϥ
ⲉⲧⲉϩⲏⲣⲱⲇⲏⲥ	ⲉⲧⲉ|ϩⲏⲣⲱⲇⲏⲥ
ⲉⲁϥϫⲟⲟⲩ	ⲉ|ⲁ|ϥ|ϫⲟⲟⲩ
ⲙⲡⲓⲗⲁⲧⲟⲥ	ⲙ|ⲡⲓⲗⲁⲧⲟⲥ
ⲉϣϫⲉ	ⲉϣϫⲉ
ⲟⲩϩⲏⲅⲉⲙⲱⲛ	ⲟⲩ|ϩⲏⲅⲉⲙⲱⲛ
ⲡⲉⲛⲧⲁϥϩⲱⲧⲃ	ⲡ|ⲉⲛⲧ|ⲁ|ϥ|ϩⲱⲧⲃ
ⲡⲟⲥⲱ	ⲡⲟⲥⲱ
ⲙⲁⲗⲗⲟⲛ	ⲙⲁⲗⲗⲟⲛ
ⲁⲛⲅⲟⲩⲣⲣⲟ	ⲁⲛⲅ|ⲟⲩ|ⲣⲣⲟ
ϯⲛⲁⲁⲛϩⲁⲗⲓⲥⲕⲉ	ϯ|ⲛⲁ|ⲁⲛϩⲁⲗⲓⲥⲕⲉ
ⲙⲡⲉⲓⲣⲁⲛ	ⲙ|ⲡⲉⲓ|ⲣⲁⲛ
ϩⲁⲣⲟⲥ	ϩⲁⲣⲟ|ⲥ
ⲙⲛⲟⲩⲟⲛ	ⲙⲛ|ⲟⲩⲟⲛ
ⲛⲓⲙ	ⲛⲓⲙ
ⲉⲧⲟⲩⲱϣⲧ	ⲉⲧ|ⲟⲩⲱϣⲧ
ⲃⲱⲕ	ⲃⲱⲕ
ⲛⲅⲥⲱⲧⲙ	ⲛ|ⲅ|ⲥⲱⲧⲙ
ⲛⲅⲑⲩⲥⲓⲁⲍⲉ	ⲛ|ⲅ|ⲑⲩⲥⲓⲁⲍⲉ
ⲛⲛⲛⲟⲩⲧⲉ	ⲛ|ⲛ|ⲛⲟⲩⲧⲉ
ⲉϣⲱⲡⲉ	ⲉϣⲱⲡⲉ
ϯⲛⲁⲉⲝⲱⲣⲓⲍⲉ	ϯ|ⲛⲁ|ⲉⲝⲱⲣⲓⲍⲉ
ⲛⲥⲉⲙⲟⲟⲩⲧⲕ	ⲛ|ⲥⲉ|ⲙⲟⲟⲩⲧ|ⲕ
ϩⲣⲱⲙⲁⲛⲟⲥ	ϩⲣⲱⲙⲁⲛⲟⲥ
ⲁϥⲕⲟⲧϥ	ⲁ|ϥ|ⲕⲟⲧ|ϥ
ⲉⲡⲉϥϣⲏⲣⲉ	ⲉ|ⲡⲉϥ|ϣⲏⲣⲉ
ϫⲉⲙⲏ	ϫⲉ|ⲙⲏ
ⲙⲡⲉⲕⲡⲉⲓⲑⲉ	ⲙ|ⲡⲉⲕ|ⲡⲉⲓⲑⲉ
ⲉⲧⲣⲉⲕⲟⲩⲱϣⲧ	ⲉ|ⲧⲣⲉ|ⲕ|ⲟⲩⲱϣⲧ
ⲙⲡⲉϥⲉⲓⲱⲧ	ⲙ|ⲡⲉϥ|ⲉⲓⲱⲧ
ϫⲉⲉϣⲱⲡⲉ	ϫⲉ|ⲉϣⲱⲡⲉ
ⲡⲉⲕϫⲟⲉⲓⲥ	ⲡⲉⲕ|ϫⲟⲉⲓⲥ
ⲇⲓⲟⲕⲗⲏϯⲁⲛⲟⲥ	ⲇⲓⲟⲕⲗⲏϯⲁⲛⲟⲥ
ⲙⲡⲁϫⲟⲉⲓⲥ	ⲙ|ⲡⲁ|ϫⲟⲉⲓⲥ
ⲁⲛⲟⲕ	ⲁⲛⲟⲕ
ⲡⲁϫⲟⲉⲓⲥ	ⲡⲁ|ϫⲟⲉⲓⲥ
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ
ⲡⲉⲭⲣⲓⲥⲧⲟⲥ	ⲡⲉ|ⲭⲣⲓⲥⲧⲟⲥ
ⲡⲉϥⲉⲓⲱⲧ	ⲡⲉϥ|ⲉⲓⲱⲧ
ⲁϥⲛⲟⲩϭⲥ	ⲁ|ϥ|ⲛⲟⲩϭⲥ
ⲉⲙⲁⲧⲉ	ⲉⲙⲁⲧⲉ
ⲁϥⲕⲉⲗⲉⲩⲉ	ⲁ|ϥ|ⲕⲉⲗⲉⲩⲉ
ⲉⲧⲣⲉⲩⲉⲓⲛⲉ	ⲉ|ⲧⲣⲉ|ⲩ|ⲉⲓⲛⲉ
ⲛⲛⲉϥϭⲓϫ	ⲛ|ⲛⲉϥ|ϭⲓϫ
ϩⲓⲡⲁϩⲟⲩ	ϩⲓ|ⲡⲁϩⲟⲩ
ⲛⲥⲉϫⲓⲧϥ	ⲛ|ⲥⲉ|ϫⲓⲧ|ϥ
ⲙⲡⲃⲟⲗ	ⲙ|ⲡ|ⲃⲟⲗ
ⲛⲧⲡⲟⲗⲓⲥ	ⲛ|ⲧ|ⲡⲟⲗⲓⲥ
ⲛⲥⲉⲗⲟⲅⲭⲓⲍⲉ	ⲛ|ⲥⲉ|ⲗⲟⲅⲭⲓⲍⲉ
ⲛϥⲙⲟⲩ	ⲛ|ϥ|ⲙⲟⲩ
ⲡⲉⲓⲅⲉⲛⲛⲁⲓⲟⲥ	ⲡⲉⲓ|ⲅⲉⲛⲛⲁⲓⲟⲥ
ⲁⲩⲙⲟⲩⲣ	ⲁ|ⲩ|ⲙⲟⲩⲣ
ⲁⲩϯ	ⲁ|ⲩ|ϯ
ⲙⲡⲉⲭⲁⲙⲱⲥ	ⲙ|ⲡⲉ|ⲭⲁⲙⲱⲥ
ⲉⲧⲣⲉⲩϫⲓⲧϥ	ⲉ|ⲧⲣⲉ|ⲩ|ϫⲓⲧ|ϥ
ⲛⲥⲉⲧⲁⲕⲟϥ	ⲛ|ⲥⲉ|ⲧⲁⲕⲟ|ϥ
ⲉϥⲛⲏⲩ	ⲉ|ϥ|ⲛⲏⲩ
ⲉϥⲟⲩⲏϩ	ⲉ|ϥ|ⲟⲩⲏϩ
ⲛⲥⲁⲙⲙⲁⲧⲟⲓ	ⲛⲥⲁ|ⲙ|ⲙⲁⲧⲟⲓ
ⲁⲡⲇⲓⲁⲃⲟⲗⲟⲥ	ⲁ|ⲡ|ⲇⲓⲁⲃⲟⲗⲟⲥ
ⲣⲡⲉⲥⲙⲟⲧ	ⲣ|ⲡⲉ|ⲥⲙⲟⲧ
ⲛⲟⲩⲙⲁⲧⲟⲓ	ⲛ|ⲟⲩ|ⲙⲁⲧⲟⲓ
ⲁϥⲟⲩⲟⲛϩϥ	ⲁ|ϥ|ⲟⲩⲟⲛϩ|ϥ
ϫⲉⲱ	ϫⲉ|ⲱ
ⲉⲕⲛⲁϣⲙⲉϩ	ⲉ|ⲕ|ⲛⲁ|ϣ|ⲙⲉϩ
ⲡⲉⲓⲡⲉⲧϩⲟⲟⲩ	ⲡⲉⲓ|ⲡⲉⲧϩⲟⲟⲩ
ⲧⲱⲛ	ⲧⲱⲛ
ⲉⲕⲕⲱ	ⲉ|ⲕ|ⲕⲱ
ⲉϥⲗⲩⲡⲉⲓ	ⲉ|ϥ|ⲗⲩⲡⲉⲓ
ϫⲉⲉⲣⲉⲡⲉⲕⲉⲓⲱⲧ	ϫⲉ|ⲉⲣⲉ|ⲡⲉⲕ|ⲉⲓⲱⲧ
ⲙⲟⲥⲧⲉ	ⲙⲟⲥⲧⲉ
ⲉⲣⲉⲡⲉⲕⲉⲓⲱⲧ	ⲉⲣⲉ|ⲡⲉⲕ|ⲉⲓⲱⲧ
ⲙⲉ	ⲙⲉ
ⲛϩⲟⲩⲟ	ⲛ|ϩⲟⲩⲟ
ⲥⲱⲧⲙ	ⲥⲱⲧⲙ
ⲛⲥⲱⲓ	ⲛⲥⲱ|ⲓ
ϯⲛⲁϫⲟⲟⲥ	ϯ|ⲛⲁ|ϫⲟⲟ|ⲥ
ϫⲉⲁⲕⲙⲉⲧⲁⲛⲟⲉⲓ	ϫⲉ|ⲁ|ⲕ|ⲙⲉⲧⲁⲛⲟⲉⲓ
ϥⲛⲁⲗⲟ	ϥ|ⲛⲁ|ⲗⲟ
ⲉϥϭⲟⲛⲧ	ⲉ|ϥ|ϭⲟⲛⲧ
ⲙⲡⲱⲣ	ⲙⲡⲱⲣ
ⲙⲡⲣⲣⲁⲧⲥⲱⲧⲙ	ⲙⲡⲣ|ⲣⲁⲧⲥⲱⲧⲙ
ⲛⲥⲱϥ	ⲛⲥⲱ|ϥ
ϭⲱϣⲧ	ϭⲱϣⲧ
ⲉⲓⲥⲁⲁⲕ	ⲉ|ⲓⲥⲁⲁⲕ
ⲡϣⲏⲣⲉ	ⲡ|ϣⲏⲣⲉ
ⲛⲁⲃⲣⲁϩⲁⲙ	ⲛ|ⲁⲃⲣⲁϩⲁⲙ
ϫⲉⲙⲡⲉϥⲣⲁⲧⲥⲱⲧⲙ	ϫⲉ|ⲙⲡⲉ|ϥ|ⲣⲁⲧⲥⲱⲧⲙ
ⲛⲥⲁⲡⲉϥⲉⲓⲱⲧ	ⲛⲥⲁ|ⲡⲉϥ|ⲉⲓⲱⲧ
ⲉϥⲛⲁⲩ	ⲉ|ϥ|ⲛⲁⲩ
ⲉⲧϭⲟⲣⲧⲉ	ⲉ|ⲧ|ϭⲟⲣⲧⲉ
ⲉⲡⲉⲥⲏⲧ	ⲉ|ⲡ|ⲉⲥⲏⲧ
ⲉϫⲱϥ	ⲉϫⲱ|ϥ
ⲙⲡⲣⲗⲩⲡⲉⲓ	ⲙⲡⲣ|ⲗⲩⲡⲉⲓ
ⲛⲅϣⲱⲡⲉ	ⲛ|ⲅ|ϣⲱⲡⲉ
ϩⲁⲡⲥⲁϩⲟⲩ	ϩⲁ|ⲡ|ⲥⲁϩⲟⲩ
ⲛⲭⲁⲙ	ⲛ|ⲭⲁⲙ
ⲛⲧⲁϥϣⲱⲡⲉ	ⲛⲧ|ⲁ|ϥ|ϣⲱⲡⲉ
ϫⲉⲁϥϭⲱϣⲧ	ϫⲉ|ⲁ|ϥ|ϭⲱϣⲧ
ⲉϫⲙⲡⲉϥⲕⲱ	ⲉϫⲙ|ⲡⲉϥ|ⲕⲱ
ⲕⲁϩⲏⲩ	ⲕⲁϩⲏⲩ
ϩⲱ	ϩⲱ
ϯⲛⲁⲡⲁⲣⲁⲕⲁⲗⲉⲓ	ϯ|ⲛⲁ|ⲡⲁⲣⲁⲕⲁⲗⲉⲓ
ⲛϥⲁⲁⲕ	ⲛ|ϥ|ⲁⲁ|ⲕ
ⲛⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ	ⲛ|ⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ
ⲙⲡⲇⲓⲁⲃⲟⲗⲟⲥ	ⲙ|ⲡ|ⲇⲓⲁⲃⲟⲗⲟⲥ
ϫⲉⲧⲙⲛⲧⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ	ϫⲉ|ⲧ|ⲙⲛⲧⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ
ⲙⲡⲉⲓⲕⲟⲥⲙⲟⲥ	ⲙ|ⲡⲉⲓ|ⲕⲟⲥⲙⲟⲥ
ⲙⲡⲓⲕⲁⲁⲥ	ⲙⲡ|ⲓ|ⲕⲁⲁ|ⲥ
ϩⲙⲡⲁϩⲏⲧ	ϩⲙ|ⲡⲁ|ϩⲏⲧ
ⲉⲓⲙⲏⲧⲓ	ⲉⲓⲙⲏⲧⲓ
ⲉⲧⲙⲛⲧⲣⲣⲟ	ⲉ|ⲧ|ⲙⲛⲧⲣⲣⲟ
ⲉⲩϫⲱ	ⲉ|ⲩ|ϫⲱ
ⲛⲛⲁⲓ	ⲛ|ⲛⲁⲓ
ⲁⲩⲃⲱⲕ	ⲁ|ⲩ|ⲃⲱⲕ
ⲁⲩⲧⲁⲙⲉ	ⲁ|ⲩ|ⲧⲁⲙⲉ
ϫⲉⲁϩⲣⲱⲙⲁⲛⲟⲥ	ϫⲉ|ⲁ|ϩⲣⲱⲙⲁⲛⲟⲥ
ϯⲁⲡⲟⲫⲁⲥⲓⲥ	ϯ|ⲁⲡⲟⲫⲁⲥⲓⲥ
ⲉⲧⲣⲉⲩϥⲓ	ⲉ|ⲧⲣⲉ|ⲩ|ϥⲓ
ⲛⲧⲉϥⲁⲡⲉ	ⲛ|ⲧⲉϥ|ⲁⲡⲉ
ⲁϥⲁⲣⲓⲕⲉ	ⲁ|ϥ|ⲁⲣⲓⲕⲉ
ⲙⲛⲛⲉϥⲛⲟⲩⲧⲉ	ⲙⲛ|ⲛⲉϥ|ⲛⲟⲩⲧⲉ
ⲁϥϫⲟⲟⲩ	ⲁ|ϥ|ϫⲟⲟⲩ
ⲙⲡⲣⲟⲧⲉⲕⲧⲱⲣ	ⲙ|ⲡⲣⲟⲧⲉⲕⲧⲱⲣ
ϫⲉⲕⲁⲥ	ϫⲉⲕⲁⲥ
ⲉⲩⲉϩⲁⲣⲡⲁⲍⲉ	ⲉⲩⲉ|ϩⲁⲣⲡⲁⲍⲉ
ⲛⲥⲉⲉⲛⲧϥ	ⲛ|ⲥⲉ|ⲉⲛⲧ|ϥ
ⲡⲉϫⲉⲡⲣⲣⲟ	ⲡⲉϫⲉ|ⲡ|ⲣⲣⲟ
ϫⲉⲁⲓⲉⲓⲙⲉ	ϫⲉ|ⲁ|ⲓ|ⲉⲓⲙⲉ
ⲙⲡϩⲟⲟⲩ	ⲙ|ⲡ|ϩⲟⲟⲩ
ϫⲉⲛⲅⲟⲩⲉϣⲥϩⲓⲙⲉ	ϫⲉ|ⲛ|ⲅ|ⲟⲩⲉϣⲥϩⲓⲙⲉ
ϣⲏⲣⲉ	ϣⲏⲣⲉ
ⲛⲁⲛⲟⲕ	ⲛ|ⲁⲛⲟⲕ
ⲙⲛⲛⲁⲛⲟⲩⲧⲉ	ⲙⲛ|ⲛⲁ|ⲛⲟⲩⲧⲉ
ⲙⲉⲭⲣⲓⲡⲉⲕϣⲏⲣⲉ	ⲙⲉⲭⲣⲓ|ⲡⲉⲕ|ϣⲏⲣⲉ
ⲛⲟⲩⲱⲧ	ⲛ|ⲟⲩⲱⲧ
ⲁⲕⲡⲁⲣⲁⲇⲓⲇⲟⲩ	ⲁ|ⲕ|ⲡⲁⲣⲁⲇⲓⲇⲟⲩ
ⲉⲡⲙⲟⲩ	ⲉ|ⲡ|ⲙⲟⲩ
ⲁⲣⲏⲩ	ⲁⲣⲏⲩ
ⲛⲧⲁⲡⲉⲓⲡⲗⲁⲛⲟⲥ	ⲛⲧ|ⲁ|ⲡⲉⲓ|ⲡⲗⲁⲛⲟⲥ
ⲥⲱⲣⲙ	ⲥ|ⲱⲣⲙ
ⲙⲡⲉϥϩⲏⲧ	ⲙ|ⲡⲉϥ|ϩⲏⲧ
ⲉⲝⲱⲣⲓⲍⲉ	ⲉ|ⲝⲱⲣⲓⲍⲉ
ⲉⲣⲁⲕⲟⲧⲉ	ⲉ|ⲣⲁⲕⲟⲧⲉ
ⲛϥϩⲩⲡⲟⲕⲓⲥⲑⲉ	ⲛ|ϥ|ϩⲩⲡⲟⲕⲓⲥⲑⲉ
ⲙⲡⲇⲓⲕⲁⲥⲧⲏⲣⲓⲟⲛ	ⲙ|ⲡ|ⲇⲓⲕⲁⲥⲧⲏⲣⲓⲟⲛ
ϣⲁⲛⲧⲉϥⲙⲟⲩ	ϣⲁⲛⲧⲉ|ϥ|ⲙⲟⲩ
ϫⲉⲡⲣⲣⲟ	ϫⲉ|ⲡ|ⲣⲣⲟ
ⲛⲁⲧϩⲏⲧ	ⲛ|ⲁⲧϩⲏⲧ
ⲛⲥⲟϭ	ⲛ|ⲥⲟϭ
ⲟⲩϩⲱⲃ	ⲟⲩ|ϩⲱⲃ
ⲉⲛⲁⲛⲟⲩϥ	ⲉ|ⲛⲁⲛⲟⲩ|ϥ
ⲉⲧⲕϣⲓⲛⲉ	ⲉⲧ|ⲕ|ϣⲓⲛⲉ
ⲕⲛⲁⲣϣⲙⲙⲟ	ⲕ|ⲛⲁ|ⲣϣⲙⲙⲟ
ⲉⲣⲟⲛ	ⲉⲣⲟ|ⲛ
