ϯⲡⲣⲟⲥⲉⲩⲭⲏ	ϯ|ⲡⲣⲟⲥⲉⲩⲭⲏ
ⲛϫⲉⲛⲓⲧⲱⲟⲩ	ⲛϫⲉ|ⲛⲓ|ⲧⲱⲟⲩ
ⲛϫⲉⲛⲓⲕⲁⲗⲁⲙⲫⲟ	ⲛϫⲉ|ⲛⲓ|ⲕⲁⲗⲁⲙⲫⲟ
ⲛⲉⲛⲉϩ	ⲛ|ⲉⲛⲉϩ
ⲛⲧϣⲉⲃⲓⲱ	ⲛ|ⲧ|ϣⲉⲃⲓⲱ
ⲛϩⲁⲛϧⲓⲥⲓ	ⲛ|ϩⲁⲛ|ϧⲓⲥⲓ
ⲉⲩⲉⲛⲁⲩ	ⲉⲩⲉ|ⲛⲁⲩ
ⲉⲛⲉⲕⲙⲁ	ⲉ|ⲛⲉⲕ|ⲙⲁ
ⲛⲙⲟϣⲓ	ⲛ|ⲙⲟϣⲓ
ⲉⲩⲉⲛⲟⲩϣⲡ	ⲉⲩⲉ|ⲛⲟⲩϣⲡ
ⲛϫⲉⲛⲓⲙⲁ	ⲛϫⲉ|ⲛⲓ|ⲙⲁ
ⲛϣⲱⲡⲓ	ⲛ|ϣⲱⲡⲓ
ⲛⲧⲉⲛⲓⲉⲑⲁⲩϣ	ⲛⲧⲉ|ⲛⲓ|ⲉⲑⲁⲩϣ
ⲛⲉⲙⲛⲓⲥⲕⲩⲛⲏ	ⲛⲉⲙ|ⲛⲓ|ⲥⲕⲩⲛⲏ
ⲛⲧⲉⲡⲕⲁϩⲓ	ⲛⲧⲉ|ⲡ|ⲕⲁϩⲓ
ⲙⲙⲁⲇⲓⲁⲙ	ⲙ|ⲙⲁⲇⲓⲁⲙ
ⲙⲏ	ⲙⲏ
ⲭⲛⲁϫⲱⲛⲧ	ⲭ|ⲛⲁ|ϫⲱⲛⲧ
ϧⲉⲛϩⲁⲛⲓⲁⲣⲱⲟⲩ	ϧⲉⲛ|ϩⲁⲛ|ⲓⲁⲣⲱⲟⲩ
ⲓⲉ	ⲓⲉ
ⲁⲣⲉⲡⲉⲕⲙⲃⲟⲛ	ⲁⲣⲉ|ⲡⲉⲕ|ⲙⲃⲟⲛ
ⲁⲣⲉⲡⲉⲕⲟⲩⲟⲓ	ⲁⲣⲉ|ⲡⲉⲕ|ⲟⲩⲟⲓ
ϧⲉⲛⲫⲓⲟⲙ	ϧⲉⲛ|ⲫ|ⲓⲟⲙ
ϫⲉⲭⲛⲁⲁⲗⲏⲓ	ϫⲉ|ⲭ|ⲛⲁ|ⲁⲗⲏⲓ
ⲉϫⲉⲛⲛⲉⲕϩⲑⲱⲣ	ⲉϫⲉⲛ|ⲛⲉⲕ|ϩⲑⲱⲣ
ⲫⲟⲩⲟⲓ	ⲫ|ⲟⲩⲟⲓ
ⲙⲫⲱⲧ	ⲙ|ⲫⲱⲧ
ⲛⲧⲉⲛⲉⲕϩⲑⲱⲣ	ⲛⲧⲉ|ⲛⲉⲕ|ϩⲑⲱⲣ
ⲟⲩⲟⲩϫⲁⲓ	ⲟⲩ|ⲟⲩϫⲁⲓ
ⲡⲉ	ⲡⲉ
ϧⲉⲛⲟⲩϭⲱⲗⲕ	ϧⲉⲛ|ⲟⲩ|ϭⲱⲗⲕ
ⲕⲛⲁϭⲱⲗⲕ	ⲕ|ⲛⲁ|ϭⲱⲗⲕ
ⲛⲧⲉⲕⲫⲓϯ	ⲛ|ⲧⲉⲕ|ⲫⲓϯ
ϩⲓϫⲉⲛⲛⲓϭⲏⲡⲓ	ϩⲓϫⲉⲛ|ⲛⲓ|ϭⲏⲡⲓ
ⲉϥⲉⲫⲱϫⲓ	ⲉϥⲉ|ⲫⲱϫⲓ
ⲉⲩⲉϯⲛⲁⲕϩⲓ	ⲉⲩⲉ|ϯⲛⲁⲕϩⲓ
ⲛϫⲉϩⲁⲛⲗⲁⲟⲥ	ⲛϫⲉ|ϩⲁⲛ|ⲗⲁⲟⲥ
ⲉϥⲉϫⲱⲣ	ⲉϥⲉ|ϫⲱⲣ
ⲛⲛⲓⲙⲱⲟⲩ	ⲛ|ⲛⲓ|ⲙⲱⲟⲩ
ⲛⲧⲉⲡⲉϥⲙⲱⲓⲧ	ⲛⲧⲉ|ⲡⲉϥ|ⲙⲱⲓⲧ
ⲙⲙⲟϣⲓ	ⲙ|ⲙⲟϣⲓ
ⲫⲛⲟⲩⲛ	ⲫ|ⲛⲟⲩⲛ
ⲁϥϯ	ⲁ|ϥ|ϯ
ⲛⲧⲉϥⲥⲙⲏ	ⲛ|ⲧⲉϥ|ⲥⲙⲏ
ⲉⲡϭⲓⲥⲓ	ⲉ|ⲡ|ϭⲓⲥⲓ
ⲛⲧⲉⲡⲉϥϩⲟⲣⲧϥ	ⲛⲧⲉ|ⲡⲉϥ|ϩⲟⲣⲧϥ
ⲁϥϭⲓⲥⲓ	ⲁ|ϥ|ϭⲓⲥⲓ
ⲛϫⲉⲫⲣⲏ	ⲛϫⲉ|ⲫ|ⲣⲏ
ⲡⲓⲓⲟϩ	ⲡⲓ|ⲓⲟϩ
ⲉⲧⲉϥⲧⲁⲝⲓⲥ	ⲉ|ⲧⲉϥ|ⲧⲁⲝⲓⲥ
ⲉⲩⲟⲩⲱⲓⲛⲓ	ⲉ|ⲩ|ⲟⲩⲱⲓⲛⲓ
ⲉⲩⲉⲙⲟϣⲓ	ⲉⲩⲉ|ⲙⲟϣⲓ
ⲛϫⲉⲛⲉⲕⲥⲟⲑⲛⲉϥ	ⲛϫⲉ|ⲛⲉⲕ|ⲥⲟⲑⲛⲉϥ
ⲉⲩⲙⲟⲩⲉ	ⲉ|ⲩ|ⲙⲟⲩⲉ
ⲛⲧⲉⲛⲉⲕⲥⲉⲧⲉⲃⲣⲏϫ	ⲛⲧⲉ|ⲛⲉⲕ|ⲥⲉⲧⲉⲃⲣⲏϫ
ⲛⲧⲉⲛⲉⲕϩⲟⲡⲗⲟⲛ	ⲛⲧⲉ|ⲛⲉⲕ|ϩⲟⲡⲗⲟⲛ
ϧⲉⲛⲡⲉⲕϫⲱⲛⲧ	ϧⲉⲛ|ⲡⲉⲕ|ϫⲱⲛⲧ
ⲉⲕⲉⲑⲣⲉⲡⲕⲁϩⲓ	ⲉⲕⲉ|ⲑⲣⲉ|ⲡ|ⲕⲁϩⲓ
ⲉⲣⲕⲟⲩϫⲓ	ⲉⲣⲕⲟⲩϫⲓ
ϧⲉⲛⲡⲉⲕⲙⲃⲟⲛ	ϧⲉⲛ|ⲡⲉⲕ|ⲙⲃⲟⲛ
ⲉⲕⲉⲃⲱⲗ	ⲉⲕⲉ|ⲃⲱⲗ
ⲛϩⲁⲛⲉⲑⲛⲟⲥ	ⲛ|ϩⲁⲛ|ⲉⲑⲛⲟⲥ
ⲁⲕⲓ	ⲁ|ⲕ|ⲓ
ⲉⲩⲟⲩϫⲁⲓ	ⲉ|ⲩ|ⲟⲩϫⲁⲓ
ⲙⲡⲉⲕⲗⲁⲟⲥ	ⲙ|ⲡⲉⲕ|ⲗⲁⲟⲥ
ⲉⲑⲣⲉⲕⲧⲟⲩϫⲟ	ⲉ|ⲑⲣⲉ|ⲕ|ⲧⲟⲩϫⲟ
ⲛⲛⲏ	ⲛ|ⲛⲏ
ⲉⲧⲁⲕⲑⲁϩⲥⲟⲩ	ⲉⲧ|ⲁ|ⲕ|ⲑⲁϩⲥ|ⲟⲩ
ⲁⲕϩⲓⲟⲩⲓ	ⲁ|ⲕ|ϩⲓⲟⲩⲓ
ⲛⲟⲩⲙⲟⲩ	ⲛ|ⲟⲩ|ⲙⲟⲩ
ⲉϫⲉⲛⲧⲁⲫⲉ	ⲉϫⲉⲛ|ⲧ|ⲁⲫⲉ
ⲛⲛⲓⲁⲛⲟⲙⲟⲥ	ⲛ|ⲛⲓ|ⲁⲛⲟⲙⲟⲥ
ⲁⲕⲭⲱ	ⲁ|ⲕ|ⲭⲱ
ⲛϯⲥⲉⲛϯ	ⲛ|ϯ|ⲥⲉⲛϯ
ⲉⲥϣⲟⲩⲓⲧ	ⲉ|ⲥ|ϣⲟⲩⲓⲧ
ⲁⲕⲧⲟⲩⲛⲟⲥⲛⲉⲕⲥⲛⲁⲩϩ	ⲁ|ⲕ|ⲧⲟⲩⲛⲟⲥ|ⲛⲉⲕ|ⲥⲛⲁⲩϩ
ϣⲁⲛⲙⲟϯ	ϣⲁ|ⲛ|ⲙⲟϯ
ⲁⲕϣⲱⲧ	ⲁ|ⲕ|ϣⲱⲧ
ⲛⲛⲓⲁⲫⲏⲟⲩⲓ	ⲛ|ⲛⲓ|ⲁⲫⲏⲟⲩⲓ
ⲛⲧⲉⲛⲓⲁⲛⲟⲙⲟⲥ	ⲛⲧⲉ|ⲛⲓ|ⲁⲛⲟⲙⲟⲥ
ⲛⲉⲙⲛⲓϫⲱⲣⲓ	ⲛⲉⲙ|ⲛⲓ|ϫⲱⲣⲓ
ϧⲉⲛⲟⲩⲧⲱⲙⲧ	ϧⲉⲛ|ⲟⲩ|ⲧⲱⲙⲧ
ⲉⲩⲉⲙⲟⲛⲙⲉⲛ	ⲉⲩⲉ|ⲙⲟⲛⲙⲉⲛ
ⲛϧⲣⲏⲓ	ⲛϧⲣⲏⲓ
ⲛϧⲏⲧⲥ	ⲛϧⲏⲧ|ⲥ
ⲉⲩⲉⲁⲟⲩⲱⲛⲛⲟⲩⲭⲁⲗⲓⲛⲟⲩⲥ	ⲉⲩⲉ|ⲁⲟⲩⲱⲛ|ⲛⲟⲩ|ⲭⲁⲗⲓⲛⲟⲩⲥ
ⲛⲟⲩϩⲏⲕⲓ	ⲛ|ⲟⲩ|ϩⲏⲕⲓ
ⲉϥⲟⲩⲱⲙ	ⲉ|ϥ|ⲟⲩⲱⲙ
ⲛⲭⲱⲡ	ⲛ|ⲭⲱⲡ
ⲁⲕⲧⲁⲗⲟ	ⲁ|ⲕ|ⲧⲁⲗⲟ
ⲛⲛⲉⲕϩⲑⲱⲣ	ⲛ|ⲛⲉⲕ|ϩⲑⲱⲣ
ⲉϩⲣⲏⲓ	ⲉϩⲣⲏⲓ
ⲉϫⲉⲛⲫⲓⲟⲙ	ⲉϫⲉⲛ|ⲫ|ⲓⲟⲙ
ⲉⲩⲉⲑⲱϩ	ⲉⲩⲉ|ⲑⲱϩ
ⲛⲟⲩⲙⲱⲟⲩ	ⲛ|ⲟⲩ|ⲙⲱⲟⲩ
ⲁⲓⲁⲣⲉϩ	ⲁ|ⲓ|ⲁⲣⲉϩ
ⲉⲣⲟⲓ	ⲉⲣⲟ|ⲓ
ⲁⲥϣⲑⲟⲣⲧⲉⲣ	ⲁ|ⲥ|ϣⲑⲟⲣⲧⲉⲣ
ⲛϫⲉⲧⲁⲛⲉϫⲓ	ⲛϫⲉ|ⲧⲁ|ⲛⲉϫⲓ
ϧⲉⲛⲧⲥⲙⲏ	ϧⲉⲛ|ⲧ|ⲥⲙⲏ
ⲛⲧⲡⲣⲟⲥⲉⲩⲭⲏ	ⲛ|ⲧ|ⲡⲣⲟⲥⲉⲩⲭⲏ
ⲛⲧⲉⲛⲁⲥⲫⲟⲧⲟⲩ	ⲛⲧⲉ|ⲛⲁ|ⲥⲫⲟⲧⲟⲩ
ⲁϥⲓ	ⲁ|ϥ|ⲓ
ⲉⲛⲁⲕⲁⲥ	ⲉ|ⲛⲁ|ⲕⲁⲥ
ⲛϫⲉⲟⲩⲥⲑⲉⲣⲧⲉⲣ	ⲛϫⲉ|ⲟⲩ|ⲥⲑⲉⲣⲧⲉⲣ
ⲥⲁⲡⲉⲥⲏⲧ	ⲥⲁ|ⲡ|ⲉⲥⲏⲧ
ⲙⲙⲟⲓ	ⲙⲙⲟ|ⲓ
ⲛϫⲉⲧⲁϩⲉⲝⲓⲥ	ⲛϫⲉ|ⲧⲁ|ϩⲉⲝⲓⲥ
ϯⲛⲁⲙⲧⲟⲛ	ϯ|ⲛⲁ|ⲙⲧⲟⲛ
ⲛⲟⲩϩⲟϫϩⲉϫ	ⲛ|ⲟⲩ|ϩⲟϫϩⲉϫ
ⲉⲑⲣⲓϣⲉ	ⲉ|ⲑⲣ|ⲓ|ϣⲉ
ⲛⲏⲓ	ⲛⲏ|ⲓ
ⲉⲫⲗⲁⲟⲥ	ⲉ|ⲫ|ⲗⲁⲟⲥ
ⲛⲧⲉⲡⲁⲙⲁ	ⲛⲧⲉ|ⲡⲁ|ⲙⲁ
ⲛϫⲱⲓⲗⲓ	ⲛ|ϫⲱⲓⲗⲓ
ϫⲉⲟⲩⲏⲓ	ϫⲉ|ⲟⲩⲏⲓ
ϯⲃⲱ	ϯ|ⲃⲱ
ⲛⲕⲉⲛⲧⲉ	ⲛ|ⲕⲉⲛⲧⲉ
ⲥⲛⲁϯⲟⲩⲧⲁϩ	ⲥ|ⲛⲁ|ϯⲟⲩⲧⲁϩ
ⲁⲛ	ⲁⲛ
ⲛⲛⲉⲟⲩⲧⲁϩ	ⲛⲛⲉ|ⲟⲩⲧⲁϩ
ϣⲱⲡⲓ	ϣⲱⲡⲓ
ϧⲉⲛϯⲃⲱ	ϧⲉⲛ|ϯ|ⲃⲱ
ⲛⲁⲗⲟⲗⲓ	ⲛ|ⲁⲗⲟⲗⲓ
ⲉϥⲉϫⲉⲙⲉⲑⲛⲟⲩϫ	ⲉϥⲉ|ϫⲉⲙⲉⲑⲛⲟⲩϫ
ⲛϫⲉⲡϩⲱⲃ	ⲛϫⲉ|ⲡ|ϩⲱⲃ
ⲛϯⲃⲱ	ⲛ|ϯ|ⲃⲱ
ⲛϫⲱⲓⲧ	ⲛ|ϫⲱⲓⲧ
ⲛⲓⲙⲉϣϣⲟϯ	ⲛⲓ|ⲙⲉϣϣⲟϯ
ⲛⲛⲟⲩⲉⲣϧⲣⲉ	ⲛⲛ|ⲟⲩ|ⲉⲣϧⲣⲉ
ⲁⲩⲙⲟⲩⲛⲕ	ⲁ|ⲩ|ⲙⲟⲩⲛⲕ
ⲛϫⲉⲛⲓⲉⲥⲱⲟⲩ	ⲛϫⲉ|ⲛⲓ|ⲉⲥⲱⲟⲩ
ϫⲉⲙⲙⲟⲛϧⲣⲉ	ϫⲉ|ⲙⲙⲟⲛ|ϧⲣⲉ
ⲛⲧⲱⲟⲩ	ⲛⲧⲱ|ⲟⲩ
ⲙⲙⲟⲛⲉϩⲉ	ⲙⲙⲟⲛ|ⲉϩⲉ
ϣⲟⲡ	ϣⲟⲡ
ϧⲉⲛⲡⲓⲟⲩⲛϩϥ	ϧⲉⲛ|ⲡⲓ|ⲟⲩⲛϩϥ
ⲛⲧⲉⲡⲟⲩⲭⲱ	ⲛⲧⲉ|ⲡⲟⲩ|ⲭⲱ
ⲁⲛⲟⲕ	ⲁⲛⲟⲕ
ⲇⲉ	ⲇⲉ
ϯⲛⲁⲑⲉⲗⲏⲗ	ϯ|ⲛⲁ|ⲑⲉⲗⲏⲗ
ϧⲉⲛⲡϭⲟⲉⲓⲥ	ϧⲉⲛ|ⲡ|ϭⲟⲉⲓⲥ
ϯⲛⲁⲣⲁϣⲓ	ϯ|ⲛⲁ|ⲣⲁϣⲓ
ⲉϫⲉⲛⲫⲛⲟⲩϯ	ⲉϫⲉⲛ|ⲫ|ⲛⲟⲩϯ
ⲡⲁⲥⲱⲧⲏⲣ	ⲡⲁ|ⲥⲱⲧⲏⲣ
ⲫⲛⲟⲩϯ	ⲫ|ⲛⲟⲩϯ
ⲧⲁϫⲟⲙ	ⲧⲁ|ϫⲟⲙ
ⲉϥⲉⲑⲱϣ	ⲉϥⲉ|ⲑⲱϣ
ⲛⲛⲁϭⲁⲗⲁⲩϫ	ⲛ|ⲛⲁ|ϭⲁⲗⲁⲩϫ
ⲉⲟⲩⲥⲩⲛⲧⲉⲗⲓⲁ	ⲉ|ⲟⲩ|ⲥⲩⲛⲧⲉⲗⲓⲁ
ϥⲛⲁⲧⲁⲗⲟⲓ	ϥ|ⲛⲁ|ⲧⲁⲗⲟ|ⲓ
ⲉϫⲉⲛⲛⲓϭⲓⲥⲓ	ⲉϫⲉⲛ|ⲛⲓ|ϭⲓⲥⲓ
ⲉⲑⲣⲓϭⲣⲟ	ⲉ|ⲑⲣ|ⲓ|ϭⲣⲟ
ϧⲉⲛⲧⲉϥϩⲱⲇⲏ	ϧⲉⲛ|ⲧⲉϥ|ϩⲱⲇⲏ
ⲉⲑⲃⲉⲡⲓⲥⲱⲣ	ⲉⲑⲃⲉ|ⲡⲓ|ⲥⲱⲣ
ⲉⲧⲁϥϣⲱⲡⲓ	ⲉⲧ|ⲁ|ϥ|ϣⲱⲡⲓ
ⲉⲑⲃⲉⲛⲓϩⲁⲅⲓⲟⲥ	ⲉⲑⲃⲉ|ⲛⲓ|ϩⲁⲅⲓⲟⲥ
ⲉⲧⲁⲓⲟⲩⲁϩⲥⲁϩⲛⲓ	ⲉⲧ|ⲁ|ⲓ|ⲟⲩⲁϩⲥⲁϩⲛⲓ
ⲛⲛⲓⲉⲕⲕⲗⲏⲥⲓⲁ	ⲛ|ⲛⲓ|ⲉⲕⲕⲗⲏⲥⲓⲁ
ⲛⲧⲉⲧⲅⲁⲗⲁⲧⲓⲁ	ⲛⲧⲉ|ⲧ|ⲅⲁⲗⲁⲧⲓⲁ
ⲁⲣⲓⲟⲩⲓ	ⲁⲣⲓⲟⲩⲓ
ϩⲱⲧⲉⲛ	ϩⲱ|ⲧⲉⲛ
ⲙⲡⲁⲓⲣⲏϯ	ⲙ|ⲡⲁⲓ|ⲣⲏϯ
ⲕⲁⲧⲁⲫⲟⲩⲁⲓ	ⲕⲁⲧⲁ|ⲫ|ⲟⲩⲁⲓ
ⲛⲛⲓⲥⲁⲃⲃⲁⲧⲟⲛ	ⲛ|ⲛⲓ|ⲥⲁⲃⲃⲁⲧⲟⲛ
ⲙⲁⲣⲉⲡⲓⲟⲩⲁⲓ	ⲙⲁⲣⲉ|ⲡⲓ|ⲟⲩⲁⲓ
ⲡⲓⲟⲩⲁⲓ	ⲡⲓ|ⲟⲩⲁⲓ
ⲙⲙⲱⲧⲉⲛ	ⲙⲙⲱ|ⲧⲉⲛ
ⲭⲱ	ⲭⲱ
ⲛⲧⲟⲧϥ	ⲛⲧⲟⲧ|ϥ
ⲉϥϩⲓⲟⲩⲓ	ⲉ|ϥ|ϩⲓⲟⲩⲓ
ⲙⲫⲏ	ⲙ|ⲫⲏ
ⲉⲧⲉⲡⲉϥⲙⲱⲓⲧ	ⲉⲧⲉ|ⲡⲉϥ|ⲙⲱⲓⲧ
ⲛⲁⲥⲱⲟⲩⲧⲉⲛ	ⲛⲁ|ⲥⲱⲟⲩⲧⲉⲛ
ⲛϧⲏⲧϥ	ⲛϧⲏⲧ|ϥ
ϩⲓⲛⲁ	ϩⲓⲛⲁ
ⲙⲏⲡⲱⲥ	ⲙⲏⲡⲱⲥ
ⲁⲓϣⲁⲛⲓ	ⲁⲓϣⲁⲛ|ⲓ
ⲧⲟⲧⲉ	ⲧⲟⲧⲉ
ⲛⲧⲉϩⲁⲛⲱⲡ	ⲛⲧⲉ|ϩⲁⲛ|ⲱⲡ
ⲉϣⲱⲡ	ⲉϣⲱⲡ
ⲛⲏ	ⲛⲏ
ⲉⲧⲉⲧⲉⲛⲛⲁⲉⲣⲇⲟⲕⲓⲙⲁⲍⲓⲛ	ⲉⲧⲉ|ⲧⲉⲛ|ⲛⲁ|ⲉⲣⲇⲟⲕⲓⲙⲁⲍⲓⲛ
ⲙⲙⲱⲟⲩ	ⲙⲙⲱ|ⲟⲩ
ⲉⲓⲉⲟⲩⲟⲣⲡⲟⲩ	ⲉⲓⲉ|ⲟⲩⲟⲣⲡ|ⲟⲩ
ϩⲓⲧⲉⲛϩⲁⲛⲉⲡⲓⲥⲧⲟⲗⲏ	ϩⲓⲧⲉⲛ|ϩⲁⲛ|ⲉⲡⲓⲥⲧⲟⲗⲏ
ⲉϭⲓ	ⲉ|ϭⲓ
ⲙⲡⲉⲧⲉⲛϩⲙⲟⲧ	ⲙⲡⲉ|ⲧⲉⲛ|ϩⲙⲟⲧ
ⲉⲓⲉⲣⲟⲥⲁⲗⲏⲙ	ⲉ|ⲓⲉⲣⲟⲥⲁⲗⲏⲙ
ⲉⲡⲓϩⲱⲃ	ⲉ|ⲡⲓ|ϩⲱⲃ
